"trip_code";"project";"vessel_identifier";"station_number";"species";"catch_category";"landing_category";"commercial_size_category_scale";"commercial_size_category";"subsampling_category";"sex";"length_code";"gear_identifier";"sub_gear_identifier";"gear_label";"subsample_weight";"coef_subsampling";"sample_weight";"weight"
"3";"InseR";"vessel1";"13";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;1;"STD";500;0.0069060773480663;5000;20588.6789505913
"3";"InseR";"vessel1";"13";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;2;"TEST";500;0.0112612612612613;3900;1600
"3";"InseR";"vessel1";"3";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;2;"TEST";500;0.0322788896061975;2700;45000
"3";"InseR";"vessel1";"5";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;1;"STD";500;0.0242718446601942;3100;4400
"3";"InseR";"vessel1";"14";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;1;"STD";500;0.0232558139534884;3700;22581.1317522614
"3";"InseR";"vessel1";"5";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;2;"TEST";500;0.0342465753424658;2900;3984.90560334025
"3";"InseR";"vessel1";"14";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;2;"TEST";500;0.0280898876404494;2700;12500
"3";"InseR";"vessel1";"10";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;2;"TEST";500;0.0238095238095238;3400;100
"3";"InseR";"vessel1";"8";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;1;"STD";500;1;500;1900
"3";"InseR";"vessel1";"8";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;2;"TEST";800;1;800;1700
"3";"InseR";"vessel1";"3";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;1;"STD";900;1;900;500
"3";"InseR";"vessel1";"10";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;1;"STD";1200;1;1200;19626.1685741491
"3";"InseR";"vessel1";"5";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;2;"TEST";2000;1;2000;32000
"3";"InseR";"vessel1";"3";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;2;"TEST";800;1;800;9813.08428707455
"3";"InseR";"vessel1";"13";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;1;"STD";2000;1;2000;20000
"3";"InseR";"vessel1";"13";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;2;"TEST";2000;1;2000;10514.0188790084
"3";"InseR";"vessel1";"14";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;1;"STD";800;1;800;17000
"3";"InseR";"vessel1";"14";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;2;"TEST";800;1;800;2400
"3";"InseR";"vessel1";"5";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;1;"STD";1600;1;1600;1500
"3";"InseR";"vessel1";"10";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Grande";NA;NA;"mm";1;2;"TEST";1000;1;1000;1500
"3";"InseR";"vessel1";"14";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;2;"TEST";1000;0.0454545454545455;1000;37675.6756756757
"3";"InseR";"vessel1";"3";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;1;"STD";1300;0.0216666666666667;1300;1200
"3";"InseR";"vessel1";"8";"Nephrops norvegicus";"DIS";"HUC";"P/G";"Petite";"Vrac";NA;"mm";1;1;"STD";500;0.0255102040816327;2800;39000
"3";"InseR";"vessel1";"13";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;2;"TEST";1100;0.02;1100;16621.6216216216
"3";"InseR";"vessel1";"3";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;2;"TEST";1100;0.0244444444444444;1100;3000
"3";"InseR";"vessel1";"8";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;1;"STD";1000;0.03125;1000;4432.43243243243
"3";"InseR";"vessel1";"10";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;1;"STD";1000;0.0256410256410256;1000;1700
"3";"InseR";"vessel1";"14";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;1;"STD";900;0.0375;900;4000
"3";"InseR";"vessel1";"10";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;2;"TEST";1000;0.032258064516129;1000;2000
"3";"InseR";"vessel1";"5";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;1;"STD";1100;0.0244444444444444;1100;72445.6553344241
"3";"InseR";"vessel1";"13";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;1;"STD";1100;0.0314285714285714;1100;2000
"3";"InseR";"vessel1";"8";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;2;"TEST";1000;0.0333333333333333;1000;35000
"3";"InseR";"vessel1";"5";"Nephrops norvegicus";"LAN";"HUC";"P/G";"Petite";NA;NA;"mm";1;2;"TEST";1000;0.027027027027027;1000;NA
"3";"InseR";"vessel1";"10";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";4400;NA;4400;10142.3917468194
"3";"InseR";"vessel1";"3";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";2700;NA;2700;21496.9994354248
"3";"InseR";"vessel1";"8";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";8000;1;8000;800
"3";"InseR";"vessel1";"10";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";7000;1;7000;24000
"3";"InseR";"vessel1";"14";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";2600;NA;2600;9876.99974060059
"3";"InseR";"vessel1";"3";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";4300;NA;4300;1742.99995422363
"3";"InseR";"vessel1";"14";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";1700;NA;1700;1100
"3";"InseR";"vessel1";"13";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";900;NA;900;15488.7797117034
"3";"InseR";"vessel1";"13";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";2100;NA;2100;800
"3";"InseR";"vessel1";"3";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";10000;1;10000;45000
"3";"InseR";"vessel1";"10";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";1500;NA;1500;24667.3158371573
"3";"InseR";"vessel1";"5";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";4400;1;4400;10000
"3";"InseR";"vessel1";"8";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";1400;NA;1400;2294.63403136347
"3";"InseR";"vessel1";"8";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";20000;1;20000;9000
"3";"InseR";"vessel1";"5";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";4600;NA;4600;2000
"3";"InseR";"vessel1";"5";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";NA;NA;NA;1300
"3";"InseR";"vessel1";"5";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";3400;NA;3400;300
"3";"InseR";"vessel1";"10";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";3000;1;3000;14573.7283904879
"3";"InseR";"vessel1";"3";"Lophius spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";2700;1;2700;2000
"3";"InseR";"vessel1";"8";"Lophius spp";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";1800;NA;1800;37000
"3";"InseR";"vessel1";"8";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";1500;NA;1500;23116.9484814635
"3";"InseR";"vessel1";"10";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";400;NA;400;NA
"3";"InseR";"vessel1";"5";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";600;NA;600;2010.16943317074
"3";"InseR";"vessel1";"10";"Merluccius merluccius";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";1700;1;1700;8000
"3";"InseR";"vessel1";"8";"Merluccius merluccius";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";15000;1;15000;300
"3";"InseR";"vessel1";"8";"Merluccius merluccius";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";17000;1;17000;1000
"3";"InseR";"vessel1";"8";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";600;NA;600;1400
"3";"InseR";"vessel1";"5";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";400;NA;400;18322.4730897742
"3";"InseR";"vessel1";"5";"Merluccius merluccius";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";8000;1;8000;800
"3";"InseR";"vessel1";"5";"Merluccius merluccius";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";12500;1;12500;30000
"3";"InseR";"vessel1";"3";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";400;NA;400;8000
"3";"InseR";"vessel1";"14";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";200;NA;200;14339.3267659102
"3";"InseR";"vessel1";"13";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";700;NA;700;15000
"3";"InseR";"vessel1";"3";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";2100;NA;2100;4779.77558863675
"3";"InseR";"vessel1";"14";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;1;"STD";300;NA;300;4300
"3";"InseR";"vessel1";"3";"Merluccius merluccius";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";9000;1;9000;600
"3";"InseR";"vessel1";"10";"Merluccius merluccius";"DIS";"HUC";NA;NA;"Vrac";NA;"cm";1;2;"TEST";500;NA;500;200
"3";"InseR";"vessel1";"10";"Merluccius merluccius";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";3500;1;3500;21023.5820424373
"3";"InseR";"vessel1";"3";"Merluccius merluccius";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";20000;1;20000;1000
"3";"InseR";"vessel1";"5";"Mullus spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";300;1;300;31000
"3";"InseR";"vessel1";"5";"Mullus spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";100;1;100;27206.9885255071
"3";"InseR";"vessel1";"10";"Mullus spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";4000;1;4000;7000
"3";"InseR";"vessel1";"10";"Mullus spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";1600;1;1600;3091.7032415349
"3";"InseR";"vessel1";"8";"Mullus spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";4300;1;4300;3500
"3";"InseR";"vessel1";"3";"Mullus spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";2000;1;2000;1600
"3";"InseR";"vessel1";"8";"Mullus spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";2400;1;2400;800
"3";"InseR";"vessel1";"3";"Mullus spp";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";900;1;900;44356.6262036835
"3";"InseR";"vessel1";"10";"Solea solea";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";800;1;800;2000
"3";"InseR";"vessel1";"5";"Solea solea";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";1900;1;1900;55000
"3";"InseR";"vessel1";"3";"Solea solea";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";1300;1;1300;23884.3371865988
"3";"InseR";"vessel1";"3";"Solea solea";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";1200;1;1200;17825.8065290183
"3";"InseR";"vessel1";"5";"Solea solea";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";1000;1;1000;800
"3";"InseR";"vessel1";"10";"Solea solea";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";2000;1;2000;22000
"3";"InseR";"vessel1";"8";"Solea solea";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";1500;1;1500;17165.591472388
"3";"InseR";"vessel1";"8";"Solea solea";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";600;1;600;1320.43011326062
