id;description;EN;FR
2_1_sorting_labs;The figure axis label for sorting time;Sorting time (min);Durée de tri (min)
2_1_sorting_test_diff;Conclusion of the test on sorting time if significant difference;Catch sorting times are significantly different between the standard and the test gear.;Les durées de tri sont significativement différentes entre l'engin test et le standard.
2_1_sorting_test_nodiff;Conclusion of the test on sorting time if no difference;Catch sorting times are not significantly different between the standard and the test gear.;Les durées de tri ne sont pas significativement différentes entre l'engin test et le standard.
2_1_sorting_test_med;Sentence on the difference between sorting time medians;The median sorting time is %i minutes %i with the test gear compared to the standard gear (p-value=%i).;Le tri médian dure %i minutes %i dans l'engin test comparé à l'engin standard (p-value=%i).
2_1_sorting_test_mean;Sentence on the difference between sorting time means;The mean sorting time is %i minutes %i with the test gear compared to the standard gear (p-value=%i).;Le tri moyen dure %i minutes de %i dans l'engin test comparé à l'engin standard (p-value=%i).
2_1_less;Less;less;de moins
2_1_more;More;more;de plus
2_1_subtitle_sorting_variation;Subtitle for the variation rate of the sorting time;Variation rate of the sorting time of the test gear compared to the standard gear;Taux de variation des durées de tri pour l'engin test par rapport à l'engin standard
2_1_sorting_var1;Sentence on the first variation rate;A %i of %i % of the sorting time is observed when considering the total sorting time from all the fishing operations.;Une %i de %i % de la durée de tri est observée avec l'engin test en considérant la durée totale sur l'ensemble des opérations suivies.
2_1_sorting_var2;Sentence on the second variation rate;A %i of %i % of the sorting time is observed when considering the mean sorting time.;Une %i de %i % de la durée de tri est observée avec l'engin test en considérant la durée moyenne.
2_1_decrease;Decrease word;decrease;diminution
2_1_increase;Increase word;increase;augmentation
2_1_subtitle_discard_weight;Subtitle for the discards weight;Discards weights;Poids des rejets
2_1_discard_weight_labs;Figure axis label for the discards weight;Discards weight by catch (kg);Poids des rejets par capture (kg)
2_1_discard_test_diff;Conclusion of the test on the discard weight if significant difference;Discards weights are significantly different between the standard and the test gear.;Le poids total des rejets est significativement différent entre l'engin test et le standard.
2_1_discard_test_nodiff;Conclusion of the test on discard weight if no difference;Discard weights is not significantly different between the standard and the test gear.;Le poids total des rejets n'est pas significativement différent entre l'engin test et le standard.
2_1_discard_test_med;Sentence on the difference between discard weights medians;The median discard weight is %i kg %i with the test gear compared to the standard gear (p-value=%i).;Le poids des rejets médian est de %i kg %i dans l'engin test comparé à l'engin standard (p-value=%i).
2_1_discard_test_mean;Sentence on the difference between discard weights means;The mean discard weight is %g kg %s with the test gear compared to the standard gear (p-value=%g).;Le poids des rejets moyen est de %g kg de %s dans l'engin test comparé à l'engin standard (p-value=%g).
2_1_subtitle_discard_variation;Subtitle for the discards weight variation rate;Variation rate of total discards weights from the test gear compared to the standard gear;Taux de variation des poids rejetés totaux de l'engin test par rapport à l'engin standard
2_1_discard_var1;Sentence on the first variation rate;A %s of %g %% of the total discard weight is observed when considering the total discard weight from all the fishing operations.;Une %s de %g %% du poids total des rejets est observée avec l'engin test en considérant le poids total sur l'ensemble des opérations suivies.
2_1_discard_var2;Sentence on the second variation rate;A %s of %g %% of the total discard weight is observed when considering the mean discard weight.;Une %s de %g %% du poids total des rejets est observée avec l'engin test en considérant le poids moyen.
2_2_subtitle;Subtitle for the total catches analysis;Comparison of landed and discarded weights by studies species;Comparaison des poids débarqués et rejetés par espèce étudiée
2_2_list_LAN;subtitle for the list of landed species;List of studied landed species:;Liste des espèces débarquées étudiées :
2_2_list_DIS;subtitle for the list of discarded species;List of studied discarded species:;Liste des espèces rejetées étudiées :
2_2_catch_labs;The figure axis label for species weight;Species weight by catch (kg);Poids de l'espèce par capture (kg)
2_2_DIS;Discards;Discards;Rejets
2_2_LAN;Landings;Landings;Débarquements
2_2_mean_diff;Table field name for mean difference;Mean difference (kg);Différence moyenne (kg)
2_2_median_diff;Table field name for median difference;Median difference;Différence médiane (kg)
2_2_var1;Table field name for total variation rate;Total variation rate (%);Taux de variation total (%)
2_2_var2;Table field name for mean variation rate;Mean variation rate (%);Taux de variation moyen (%)
2_2_LAN_table_caption;Caption for the table about weights for each landed species;Results of the comparison tests on the landed weights for each species. The tested statistic is identified by '*'. The lower the p-value, the more significant is the difference.  ;Résultats des tests de différence de poids débarqués pour chaque espèce. La statistique testée est identifiée par '*'. Plus la p-value est faible, plus la différence est significative.
2_2_DIS_table_caption;Caption for the table about weights for each discarded species;Results of the comparison tests on the discarded weights for each species. The tested statistic is identified by '*'. The lower the p-value, the more significant is the difference.  ;Résultats des tests de différence de poids rejetés pour chaque espèce. La statistique testée est identifiée par '*'.
3_title;Title of the section 3;Size selectivity analysis;Analyse de la sélectivité en taille
3_list_size;subtitle for the list of studied species;List of studied species:;Liste des espèces étudiées :
3_size_distribution;subtitle for the size distribution of each species;For each species, size distribution of landings and discards by gear;Pour chaque espèce, distribution en tailles des débarquements/rejets par engin
3_CL_labs;axis label for CL;Carapace length (%s);Longueur céphalothoracique (%s)
3_TL_labs;axis label for TL;Total length (%s);Longueur totale (%s)
3_n_labs;axis label for counts;Counts;Nombre d'individus
3_species;Species;Species;Espèce
3_global;Table field for overall lengths;Overall (all lengths);Global (toutes les tailles)
3_taille_com;Table field for commercial lengths;Commercial lengths;Taille commerciale
3_undersize;Table field for undersized individuals;Undersized;Hors taille
3_escapement;Table caption for escapement rate;Escapement rate of the test gear compared to the standard gear;Taux d'échappement de l'engin test par rapport au standard.
3_selectivity_curve;subtitle for the size selectivity curves;Relative size selectivity curves of the test gear compared to the standard gear;Courbes de sélectivité relative du chalut test par rapport le chalut standard
3_rel_selectivity;subtitle for the size selectivity curves;Relative selectivity;Sélectivité relative
3_whole;Whole;Whole;Total
